user_id,name,description,price,tags,scheduled_time,status,result,created_at,updated_at
2,Task 1,Description for task 1,350,"Programming, Development",2024-09-03 00:22:06,in_progress,Work in progress,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 2,Description for task 2,400,"Programming, Development, Design",2024-09-04 00:22:06,completed,Completed,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 3,Description for task 3,450,Programming,2024-09-05 00:22:06,failed,Failed,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 4,Description for task 4,500,"Programming, Development",2024-09-06 00:22:06,canceled,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 5,Description for task 5,300,"Programming, Development, Design",2024-09-07 00:22:06,pending,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 6,Description for task 6,350,Programming,2024-09-08 00:22:06,in_progress,Work in progress,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 7,Description for task 7,400,"Programming, Development",2024-09-09 00:22:06,completed,Completed,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 8,Description for task 8,450,"Programming, Development, Design",2024-09-10 00:22:06,failed,Failed,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 9,Description for task 9,500,Programming,2024-09-11 00:22:06,canceled,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 10,Description for task 10,300,"Programming, Development",2024-09-12 00:22:06,pending,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 11,Description for task 11,350,"Programming, Development, Design",2024-09-13 00:22:06,in_progress,Work in progress,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 12,Description for task 12,400,Programming,2024-09-14 00:22:06,completed,Completed,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 13,Description for task 13,450,"Programming, Development",2024-09-15 00:22:06,failed,Failed,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 14,Description for task 14,500,"Programming, Development, Design",2024-09-16 00:22:06,canceled,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 15,Description for task 15,300,Programming,2024-09-17 00:22:06,pending,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 16,Description for task 16,350,"Programming, Development",2024-09-18 00:22:06,in_progress,Work in progress,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 17,Description for task 17,400,"Programming, Development, Design",2024-09-19 00:22:06,completed,Completed,2024-09-02 00:22:06,2024-09-02 00:22:06
1,Task 18,Description for task 18,450,Programming,2024-09-20 00:22:06,failed,Failed,2024-09-02 00:22:06,2024-09-02 00:22:06
2,Task 19,Description for task 19,500,"Programming, Development",2024-09-21 00:22:06,canceled,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
3,Task 20,Description for task 20,300,"Programming, Development, Design",2024-09-22 00:22:06,pending,Pending,2024-09-02 00:22:06,2024-09-02 00:22:06
